2024-05-14 18:19:27,600 [Worker-11] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2024-05-14 18:19:34,256 [Worker-11] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.recipe:recipe:0.0.1-SNAPSHOT @ C:\Project\SAVOR\Springboot\recipe\recipe\pom.xml.
2024-05-14 18:19:40,589 [Worker-11] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /recipe/src/main/java
2024-05-14 18:19:40,590 [Worker-11] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /recipe/src/main/resources
2024-05-14 18:19:40,611 [Worker-11] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /recipe/src/main/resources
2024-05-14 18:19:40,630 [Worker-11] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /recipe/src/test/java
2024-05-14 18:19:41,775 [Worker-14] INFO  o.a.m.s.f.DefaultMavenResourcesFiltering - Copying 1 resource from src\main\resources to target\classes
2024-05-14 18:19:41,814 [Worker-14] INFO  o.a.m.s.f.DefaultMavenResourcesFiltering - Copying 0 resource from src\main\resources to target\classes
2024-05-14 18:19:41,817 [Worker-14] INFO  o.a.m.s.f.DefaultMavenResourcesFiltering - skip non existing resourceDirectory C:\Project\SAVOR\Springboot\recipe\recipe\src\test\resources
2024-05-14 18:19:47,218 [Worker-11] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 19 sec
2024-05-14 18:19:47,613 [Worker-6] INFO  o.a.m.s.f.DefaultMavenResourcesFiltering - Copying 1 resource from src\main\resources to target\classes
2024-05-14 18:19:47,616 [Worker-6] INFO  o.a.m.s.f.DefaultMavenResourcesFiltering - Copying 0 resource from src\main\resources to target\classes
2024-05-14 18:19:47,618 [Worker-6] INFO  o.a.m.s.f.DefaultMavenResourcesFiltering - skip non existing resourceDirectory C:\Project\SAVOR\Springboot\recipe\recipe\src\test\resources
